Instance,Lambda,V,K,M*,OPT,Sec
CapEuclideo.50.50.1.1,1,50,50,50,46794,1
CapEuclideo.50.50.1.2,1,50,50,50,48120,2
CapEuclideo.50.50.1.3,1,50,50,50,42861,2
CapEuclideo.50.50.1.4,1,50,50,50,42920,2
CapEuclideo.50.50.1.5,1,50,50,47,40562,3
CapEuclideo.50.50.5.1,5,50,50,46,17980,2
CapEuclideo.50.50.5.2,5,50,50,48,18449,3
CapEuclideo.50.50.5.3,5,50,50,46,16653,3
CapEuclideo.50.50.5.4,5,50,50,46,16196,4
CapEuclideo.50.50.5.5,5,50,50,45,15844,2
CapEuclideo.50.50.7.1,7,50,50,40,9013,5
CapEuclideo.50.50.7.2,7,50,50,44,9484,12
CapEuclideo.50.50.7.3,7,50,50,42,8752,7
CapEuclideo.50.50.7.4,7,50,50,39,8635,14
CapEuclideo.50.50.7.5,7,50,50,38,8620,15
CapEuclideo.50.50.8.1,8,50,50,35,6287,25
CapEuclideo.50.50.8.2,8,50,50,36,6258,27
CapEuclideo.50.50.8.3,8,50,50,31,5846,14
CapEuclideo.50.50.8.4,8,50,50,29,5573,6
CapEuclideo.50.50.8.5,8,50,50,32,5827,15
CapEuclideo.50.50.9.1,9,50,50,24,3650,102
CapEuclideo.50.50.9.2,9,50,50,25,3811,76
CapEuclideo.50.50.9.3,9,50,50,22,3522,22
CapEuclideo.50.50.9.4,9,50,50,21,3329,13
CapEuclideo.50.50.9.5,9,50,50,18,3543,39
CapEuclideo.50.50.95.1,95,50,50,18,2636,18
CapEuclideo.50.50.95.2,95,50,50,17,1758,2
CapEuclideo.50.50.95.3,95,50,50,14,2390,12
CapEuclideo.50.50.95.4,95,50,50,16,2643,14
CapEuclideo.50.50.95.5,95,50,50,15,2792,37
CapEuclideo.50.50.99.1,99,50,50,8,1703,4
CapEuclideo.50.50.99.2,99,50,50,14,1305,2
CapEuclideo.50.50.99.3,99,50,50,11,1893,15
CapEuclideo.50.50.99.4,99,50,50,13,2143,12
CapEuclideo.50.50.99.5,99,50,50,12,2266,18
CapEuclideo.50.100.1.1,1,50,100,50,83044,2
CapEuclideo.50.100.1.2,1,50,100,50,87427,3
CapEuclideo.50.100.1.3,1,50,100,50,85002,2
CapEuclideo.50.100.1.4,1,50,100,50,89756,3
CapEuclideo.50.100.1.5,1,50,100,50,87090,16
CapEuclideo.50.100.5.1,5,50,100,50,29334,2
CapEuclideo.50.100.5.2,5,50,100,50,30089,3
CapEuclideo.50.100.5.3,5,50,100,50,29016,2
CapEuclideo.50.100.5.4,5,50,100,50,29913,3
CapEuclideo.50.100.5.5,5,50,100,50,29503,14
CapEuclideo.50.100.7.1,7,50,100,49,14066,3
CapEuclideo.50.100.7.2,7,50,100,47,13536,6
CapEuclideo.50.100.7.3,7,50,100,43,12934,8
CapEuclideo.50.100.7.4,7,50,100,47,13475,4
CapEuclideo.50.100.7.5,7,50,100,44,13686,62
CapEuclideo.50.100.8.1,8,50,100,35,8441,8
CapEuclideo.50.100.8.2,8,50,100,36,7940,7
CapEuclideo.50.100.8.3,8,50,100,37,7831,9
CapEuclideo.50.100.8.4,8,50,100,38,8230,10
CapEuclideo.50.100.8.5,8,50,100,37,8520,24
CapEuclideo.50.100.9.1,9,50,100,27,4718,5
CapEuclideo.50.100.9.2,9,50,100,31,4705,75
CapEuclideo.50.100.9.3,9,50,100,31,4462,87
CapEuclideo.50.100.9.4,9,50,100,31,4620,25
CapEuclideo.50.100.9.5,9,50,100,32,4834,41
CapEuclideo.50.100.95.1,95,50,100,19,3429,8
CapEuclideo.50.100.95.2,95,50,100,21,3226,78
CapEuclideo.50.100.95.3,95,50,100,19,2818,14
CapEuclideo.50.100.95.4,95,50,100,22,3190,69
CapEuclideo.50.100.95.5,95,50,100,21,3273,23
CapEuclideo.50.100.99.1,99,50,100,14,2389,3
CapEuclideo.50.100.99.2,99,50,100,16,1986,10
CapEuclideo.50.100.99.3,99,50,100,14,2091,14
CapEuclideo.50.100.99.4,99,50,100,18,2519,18
